Title,Description,Price,Categories,ImageUrl
SPORE™,"From Single Cell to Galactic God, evolve your creature in a universe of your own creations. Play through Spore's five evolutionary stages: Cell, Creature, Tribe, Civilization, and Space. Each stage has its own unique style, challenges, and goals.",19.99,"Simulation,Sandbox,Open World",https://cdn.cloudflare.steamstatic.com/steam/apps/17390/header.jpg
Contra Anniversary Collection,The Contra Anniversary Collection brings this classic Run and Gun franchise back to modern platforms and a new generation of gamers.,19.99,"Action,2D,Classic",https://cdn.cloudflare.steamstatic.com/steam/apps/1018020/header.jpg
Fishing Planet,"Fishing Planet is a FREE to play unique and highly realistic online first-person multiplayer fishing simulator developed for anglers to bring you the full thrill of actual fishing! Choose your lures, make your trophy catches, discover new possibilities and sharpen your real angling skills anywhere, anytime with your friends!",19.99,"Fishing,Free to Play,Simulation",https://cdn.cloudflare.steamstatic.com/steam/apps/380600/header.jpg
Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle,Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle bundle,0.00,NaN,https://picsum.photos/seed/game/400/200
Just Cause™ 3,"With over 1000 km² of complete freedom from sky to seabed, Rico Rodriguez returns to unleash chaos in the most creative and explosive ways imaginable.",19.99,"Open World,Action,Destruction",https://cdn.cloudflare.steamstatic.com/steam/apps/225540/header.jpg
BioShock Infinite,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",29.99,"FPS,Story Rich,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/8870/header.jpg
Men of War: Assault Squad 2,Men of War: Assault Squad 2 features new single player style skirmish modes that take players from extreme tank combat to deadly sniper stealth missions. Commanders can now faceoff against opponents on various new multiplayer 1v1 – 8v8 maps.,84.97,"Strategy,World War II,War",https://cdn.cloudflare.steamstatic.com/steam/apps/244450/header.jpg
Dungeons & Dragons Online®,Enter a world of danger and adventure with Dungeons & Dragons Online® based on the beloved RPG that started it all.,0.00,"Free to Play,RPG,MMORPG",https://cdn.cloudflare.steamstatic.com/steam/apps/206480/header.jpg
NecroDancer ULTIMATE PACK,NecroDancer ULTIMATE PACK bundle,58.89,NaN,https://picsum.photos/seed/game/400/200
JUMP FORCE,"Create your own avatar to fight alongside the most powerful Manga heroes in an original Story Mode, or head to the Online Lobby to challenge other players and discover lots of modes and activities.",59.99,"Fighting,Anime,Action",https://cdn.cloudflare.steamstatic.com/steam/apps/816020/header.jpg
